"condition","condition_label","pt","net_benefit"
"clean","Clean",0.459366433990606,0.370325159162442
"jpeg_30","JPEG Q30",0.459366433990606,0.332114330368085
"blur_20","Blur 2.0",0.459366433990606,0.383488534555874
"resize_025","Resize 0.25",0.459366433990606,0.417704138223497
"noise_010","Noise 0.10",0.459366433990606,0.308627387436633
