atom,n,auroc,ap,bacc,fpr_at_95tpr,ece,delta_clean_bacc,ci_lo,ci_hi,model_hash,config_hash,atoms_version
clean,4000,0.9950144999999999,0.9952041133120851,0.8295,0.019,0.19429765288051024,0.0,0.81874375,0.83975,fc1c88f219d1,4ed11edd6769,2.0
jpeg_30,4000,0.98623975,0.9788978230107868,0.7415,0.0335,0.2752838554150003,-0.08799999999999997,0.73075,0.753,fc1c88f219d1,4ed11edd6769,2.0
blur_20,4000,0.99429025,0.993508476388148,0.8275,0.022,0.19615574517471576,-0.0020000000000000018,0.81674375,0.83775625,fc1c88f219d1,4ed11edd6769,2.0
resize_025,4000,0.9868867499999999,0.9804322473837398,0.8335,0.0375,0.19733550529447524,0.0040000000000000036,0.8227500000000001,0.84425,fc1c88f219d1,4ed11edd6769,2.0
noise_010,4000,0.98348325,0.9776425861180109,0.8027500000000001,0.0505,0.22343306956971717,-0.02674999999999994,0.7915,0.8140000000000001,fc1c88f219d1,4ed11edd6769,2.0
