atom,n,auroc,ap,bacc,fpr_at_95tpr,ece,delta_clean_bacc,ci_lo,ci_hi,model_hash,config_hash,atoms_version
clean,4000,0.9949347500000001,0.9950753248598161,0.8045,0.017,0.20001379775770786,0.0,0.79325,0.81475,9080d0930e2a,4ed11edd6769,2.0
jpeg_30,4000,0.988215,0.9818820305646534,0.7205,0.03,0.2592734937721144,-0.08399999999999996,0.71025,0.73175625,9080d0930e2a,4ed11edd6769,2.0
blur_20,4000,0.99591825,0.9952669768810192,0.80975,0.0165,0.19501274468839078,0.005249999999999977,0.7987437500000001,0.8200000000000001,9080d0930e2a,4ed11edd6769,2.0
resize_025,4000,0.9895394999999999,0.9835091077069387,0.7995,0.027,0.19245356048669057,-0.0050000000000000044,0.7885,0.8105,9080d0930e2a,4ed11edd6769,2.0
noise_010,4000,0.9860167500000001,0.9809203617200798,0.76275,0.0445,0.22661757299822416,-0.041749999999999954,0.75199375,0.7735062500000001,9080d0930e2a,4ed11edd6769,2.0
