atom,n,auroc,ap,bacc,fpr_at_95tpr,ece,delta_clean_bacc,ci_lo,ci_hi,model_hash,config_hash,atoms_version
clean,13843,0.9997230804025782,0.9998437398851665,0.9759393192355535,0.0004,0.031139423172829524,0.0,0.9737341852312564,0.9780186127445437,f4167a89c879,4ed11edd6769,2.0
jpeg_30,13843,0.9883800859436842,0.9938227916352974,0.945906660635531,0.0588,0.055338018472847285,-0.030032658600022577,0.9423403573447925,0.9494125539975122,f4167a89c879,4ed11edd6769,2.0
blur_20,13843,0.9963306344000905,0.9979333679086008,0.9440898676919598,0.0172,0.06511661950836525,-0.031849451543593754,0.9406533583060048,0.9474605374307362,f4167a89c879,4ed11edd6769,2.0
resize_025,13843,0.9875817708922312,0.9934129328193034,0.9411604206717178,0.0654,0.06220765177806411,-0.03477889856383576,0.9375583871423725,0.9446441626144975,f4167a89c879,4ed11edd6769,2.0
noise_010,13843,0.9926803573447924,0.9959476467050138,0.9490893701232613,0.0354,0.05297639002330473,-0.026849949112292215,0.9455649516566775,0.9524251003618681,f4167a89c879,4ed11edd6769,2.0
