atom,n,auroc,ap,bacc,fpr_at_95tpr,ece,delta_clean_bacc,ci_lo,ci_hi,model_hash,config_hash,atoms_version
clean,1000,0.6923999999999999,0.6988889713755932,0.64,0.878,0.050227351680398,0.0,0.61,0.6719999999999999,e85519a45a21,b99c18517a6a,2.0
jpeg_30,1000,0.6896279999999999,0.7076667536743958,0.623,0.888,0.06129200986027719,-0.017000000000000015,0.593,0.6539999999999999,e85519a45a21,b99c18517a6a,2.0
blur_20,1000,0.708444,0.734184882204755,0.63,0.884,0.0737911403775215,-0.010000000000000009,0.6000000000000001,0.659,e85519a45a21,b99c18517a6a,2.0
resize_025,1000,0.70324,0.7314269915930183,0.6359999999999999,0.892,0.07625981315970422,-0.004000000000000115,0.607,0.663,e85519a45a21,b99c18517a6a,2.0
noise_010,1000,0.671088,0.7020708963441649,0.619,0.912,0.05866648870706555,-0.02100000000000002,0.59,0.649025,e85519a45a21,b99c18517a6a,2.0
