atom,n,auroc,ap,bacc,fpr_at_95tpr,ece,delta_clean_bacc,ci_lo,ci_hi,model_hash,config_hash,atoms_version
clean,13843,0.9997526178898565,0.999867943864659,0.9891266651588827,0.0,0.013356842690562703,0.0,0.987639285310415,0.9906712410946511,80b5fdf5d548,4ed11edd6769,2.0
jpeg_30,13843,0.9930922989935543,0.9963264089315904,0.9642537939613254,0.024,0.024922357991159706,-0.024872871197557322,0.9612316309510347,0.9672457076218478,80b5fdf5d548,4ed11edd6769,2.0
blur_20,13843,0.9967430962343096,0.99823391876479,0.9666767160465906,0.0116,0.03525566680299076,-0.022449949112292145,0.9639234849598552,0.9694343955671152,80b5fdf5d548,4ed11edd6769,2.0
resize_025,13843,0.9908666289720685,0.9952725581001968,0.9583790342643899,0.0322,0.028917042185068537,-0.03074763089449284,0.9547736045459685,0.9617230611783332,80b5fdf5d548,4ed11edd6769,2.0
noise_010,13843,0.9938353499943459,0.9966322009231255,0.961408017641072,0.026,0.03164634879686652,-0.027718647517810724,0.9585198586452561,0.9646656889630215,80b5fdf5d548,4ed11edd6769,2.0
